candidate,receipts
"ABERCROMBIE, NEIL",1074.345
"ALLEN, THOMAS H",1058.725
"ANDREWS, ROBERT E",2218.353
"BACA, JOE",686.65
"BAIRD, BRIAN N",834.004
"BALDWIN, TAMMY",1565.234
"BARROW, JOHN J",2491.085
"BEAN, MELISSA LUBURICH",4337.073
"BECERRA, XAVIER",838.954
"BERKLEY, SHELLEY",1742.767
"BERMAN, HOWARD L",914.914
"BERRY, MARION",1295.565
"BISHOP, SANFORD D JR.",818.301
"BLUMENAUER, EARL",789.369
"BORDALLO, MADELEINE Z MS.",203.379
"BOSWELL, LEONARD L.",2147.051
"BOUCHER, FREDRICK C",1422.762
"BOYD, F ALLEN JR",1042.491
"BRADY, ROBERT A",694.747
"BROWN, CORRINE",491.3
"BROWN, SHERROD",8937.004
"BUTTERFIELD, G K",387.424
"CAPPS, LOIS G",874.676
"CAPUANO, MICHAEL E",836.728
"CARDIN, BENJAMIN L",269.313
"CARDOZA, DENNIS",1076.223
"CARNAHAN, RUSS",1263.763
"CARSON, JULIA",476.139
"CASE, EDWARD E",367.426
"CHRISTENSEN, DONNA M",174.302
"CLAY, WILLIAM LACY JR",443.363
"CLEAVER, EMANUEL II",669.497
"CLYBURN, JAMES E",1134.696
"CONYERS, JOHN JR.",1069.653
"COOPER, JAMES H. S.",772.293
"COSTA, JIM MR.",901.164
"COSTELLO, JERRY F",1180.687
"CRAMER, ROBERT EDWARD BUD JR",895.212
"CROWLEY, JOSEPH",1738.323
"CUELLAR, HENRY R",1718.752
"DAVIS, ARTUR GENESTRE",764.141
"DAVIS, DANNY K",542.153
"DAVIS, JAMES OSCAR III",10.474
"DAVIS, LINCOLN EDWARD",916.145
"DAVIS, SUSAN A",343.916
"DEFAZIO, PETER A",793.123
"DEGETTE, DIANA L",635.208
"DELAHUNT, WILLIAM D",1133.495
"DELAURO, ROSA",819.47
"DEUTSCH, PETER R",13.122
"DICKS, NORM D",975.071
"DINGELL, JOHN D MR.",1557.064
"DOGGETT, LLOYD A MR.",1089.095
"DOYLE, MIKE",923.775
"EDWARDS, CHET",3194.165
"EMANUEL, RAHM",1287.804
"ENGEL, ELIOT",862.882
"ESHOO, ANNA",1036.465
"ETHERIDGE, BOB",907.474
"EVANS, LANE A",565.245
"FALEOMAVAEGA, ENI",42.587
"FARR, SAM",773.188
"FATTAH, CHAKA",1080.364
"FILNER, BOB",1805.969
"FORD, HAROLD JR",14306.467
"FRANK, BARNEY",1872.924
"FROST, MARTIN",45.246
"GONZALEZ, CHARLES A",761.665
"GORDON, BARTON JENNINGS",1060.081
"GREEN, ALEXANDER",431.655
"GREEN, RAYMOND E. 'GENE'",728
"GUTIERREZ, LUIS V",161.593
"HARMAN, JANE",919.515
"HASTINGS, ALCEE L",343.108
"HERSETH, STEPHANIE M",1525.606
"HIGGINS, BRIAN M.",1227.884
"HILL, BARON P",1913.966
"HINCHEY, MAURICE D",664.148
"HINOJOSA, RUBEN E",681.521
"HOLDEN, T. TIMOTHY",1093.747
"HOLT , RUSH D",1465.207
"HONDA, MIKE",761.703
"HOOLEY, DARLENE",1819.523
"HOYER, STENY HAMILTON",2354.47
"INSLEE, JAY R",885.876
"ISRAEL, STEVE J",1502.557
"JACKSON, JESSE LOUIS JR",1079.135
"JEFFERSON, WILLIAM JENNINGS",1276.092
"JOHNSON, EDDIE BERNICE",411.189
"KANJORSKI, PAUL E",1073.773
"KAPTUR, MARCY",505.05
"KENNEDY, PATRICK J",1963.055
"KILPATRICK, CAROLYN CHEEKS",460.445
"KIND, RON",933.903
"KUCINICH, DENNIS J",635.245
"LANGEVIN, JAMES R",839.351
"LANTOS, TOM",1029.421
"LARSEN, RICK R",1456.945
"LARSON, JOHN B",983.926
"LEE, BARBARA",965.875
"LEE, SHEILA JACKSON",395.014
"LEVIN, SANDER M",626.413
"LEWIS, JOHN",628.202
"LIPINSKI, DANIEL WILLIAM",371.989
"LOFGREN, ZOE",624.136
"LOWEY, NITA M",1344.129
"LYNCH, STEPHEN F",1170.45
"MALONEY, CAROLYN B",1179.894
"MARKEY, EDWARD J MR.",942.52
"MATHESON, JAMES DAVID",1860.573
"MCCARTHY, CAROLYN",1441.801
"MCCOLLUM, BETTY",562.752
"MCDERMOTT, JAMES A",888.559
"MCGOVERN, JAMES P",755.594
"MCINTYRE, MIKE",901.698
"MCKINNEY, CYNTHIA A",393.097
"MCNULTY, MICHAEL R.",482.264
"MEEHAN, MARTIN T",1057.917
"MEEK, KENDRICK B",1008.007
"MEEKS, GREGORY WELDON",819.726
"MELANCON, CHARLIE JR",2691.846
"MENENDEZ, ROBERT",11950.586
"MICHAUD, MICHAEL H",737.307
"MILLENDER-MCDONALD, JUANITA",315.374
"MILLER, BRAD",1771.007
"MILLER, GEORGE",667.494
"MOLLOHAN, ALAN B.",1622.991
"MOORE, DENNIS",2240.158
"MOORE, GWENDOLYNNE",565.396
"MORAN, JAMES P JR",1339.44
"MURTHA, JOHN P MR.",2760.857
"NADLER, JERROLD LEWIS",758.666
"NAPOLITANO, GRACE",329.193
"NEAL, RICHARD E MR.",715
"OLVER, JOHN W.",660.116
"ORTIZ, SOLOMON P",687.75
"OWENS, MAJOR ROBERT",183.356
"PALLONE, FRANK JR",2279.563
"PASCRELL, WILLIAM J. JR.",1389.546
"PASTOR, EDWARD L",1092.996
"PAYNE, DONALD M",613.321
"PELOSI, NANCY",1679.511
"POMEROY, EARL RALPH",1591.806
"PRICE, DAVID E",931.155
"RAHALL, NICK J II",565.269
"RANGEL, CHARLES B",1995.574
"REYES, SILVESTRE",701.687
"ROTHMAN, STEVEN R",1544.024
"ROYBAL-ALLARD, LUCILLE",589.538
"RUPPERSBERGER, C A DUTCH",854.594
"RYAN, TIMOTHY J",609.009
"SALAZAR, JOHN TONY",2028.066
"SANCHEZ, LINDA",643.97
"SANCHEZ, LORETTA",1364.455
"SCHAKOWSKY, JANICE D",1138.224
"SCHIFF, ADAM",1200.905
"SCHULTZ, DEBBIE WASSERMAN",1036.924
"SCHWARTZ, ALLYSON",2788.236
"SCOTT, DAVID ALBERT",1241.679
"SCOTT, ROBERT C",336.423
"SERRANO, JOSE E",312.397
"SHERMAN, BRAD MR",1610.834
"SKELTON, IKE",1050.907
"SLAUGHTER, LOUISE M",510.564
"SNYDER, VICTOR FREDERICK",659.814
"SOLIS, HILDA",809.643
"SPRATT, JOHN M JR",2315.149
"STARK, PETE",430.32
"STRICKLAND, TED",115.18
"STUPAK, BART",805.653
"TANNER, JOHN S.",1001.398
"TAUSCHER, ELLEN O",930.129
"TAYLOR, GENE MR.",428.332
"THOMPSON, BENNIE G.",1375.701
"THOMPSON, MIKE",1747.991
"TIERNEY, JOHN",654.168
"TOWNS, EDOLPHUS",1330.386
"TUBBS-JONES, STEPHANIE",754.168
"TURNER, JIM",52.18
"UDALL, MARK",1512.865
"UDALL, TOM",515.102
"VELAZQUEZ, NYDIA M",766.762
"VISCLOSKY, PETER J",1374.303
"WATERS, MAXINE MS",795.431
"WATSON, DIANE E E",182.018
"WATT, MELVIN L",503.513
"WAXMAN, HENRY A.",648.175
"WEXLER, ROBERT",789.946
"WOOLSEY, LYNN C",1400.103
"WU, DAVID MR.",1432.946
"WYNN, ALBERT R",799.324
